"OKRES","KODZASTUP","NAZEVZAST","COBVODU","POR_STR_HL","OSTRANA","VSTRANA","NAZEVCELK","ZKRATKAO30","ZKRATKAO8","POCSTR_SLO","SLOZENI","HLASY_STR","PROCHLSTR","MAND_STR","MANDATY","POCOBYV","KOALICE","OFICIALNI"
7102,500496,"Olomouc",1,1,1,1,"Křesťanská a demokratická unie - Československá strana lidová","Křesť.demokr.unie-Čs.str.lid.","KDU-ČSL",1,"1",95688,7.4,4,45,100494,TRUE,TRUE
7102,500496,"Olomouc",1,3,1138,1138,"Svoboda a přímá demokracie - Tomio Okamura (SPD) a Strana Práv Občanů ZEMANOVCI","SPD T.OKAMURA a SPO ZEMANOVCI","SPOZ+SPD",2,"7,241,114",71958,5.57,3,45,100494,FALSE,TRUE
7102,500496,"Olomouc",1,4,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",68351,5.29,2,45,100494,FALSE,TRUE
7102,500496,"Olomouc",1,8,768,768,"ANO 2011","ANO 2011","ANO",1,"768",344398,26.66,14,45,100494,TRUE,TRUE
7102,500496,"Olomouc",1,11,1039,1039,"ProOlomouc","ProOlomouc","ProOl",1,"1039",156378,12.1,6,45,100494,FALSE,TRUE
7102,500496,"Olomouc",1,12,1350,1350,"PIRÁTI A STAROSTOVÉ","PIRÁTI A STAROSTOVÉ","STAN+Piráti",2,"166,720",154271,11.94,6,45,100494,FALSE,TRUE
7102,500496,"Olomouc",1,13,1192,1192,"spOLečně","spOLečně","spOL",1,"1192",76597,5.93,3,45,100494,TRUE,TRUE
7102,500496,"Olomouc",1,14,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"53",140900,10.91,5,45,100494,TRUE,TRUE
7102,500496,"Olomouc",1,16,7,7,"Česká strana sociálně demokratická","Česká str.sociálně demokrat.","ČSSD",1,"7",64662,5,2,45,100494,FALSE,TRUE
8105,505927,"Opava",1,1,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",35631,5.7,2,39,57019,FALSE,TRUE
8105,505927,"Opava",1,3,523,523,"ODS, TOP 09, SOUKROMNÍCI A NEZÁVISLÍ KANDIDÁTI","ODS, TOP 09, SOUKROMNÍCI A NK",NA,3,"53,080,721",87238,13.96,6,39,57019,FALSE,TRUE
8105,505927,"Opava",1,4,541,541,"Piráti & Opavané","Piráti & Opavané",NA,2,"80,720",68722,10.99,5,39,57019,TRUE,TRUE
