"OKRES","KODZASTUP","NAZEVZAST","COBVODU","POR_STR_HL","OSTRANA","VSTRANA","NAZEVCELK","ZKRATKAO30","ZKRATKAO8","POCSTR_SLO","SLOZENI","HLASY_STR","PROCHLSTR","MAND_STR","MANDATY","POCOBYV","KOALICE","OFICIALNI"
8105,505927,"Opava",1,5,510,510,"Změna pro Opavu","Změna pro Opavu",NA,2,"80,771",47490,7.59,3,39,57019,FALSE,TRUE
8105,505927,"Opava",1,6,7,7,"Česká strana sociálně demokratická","Česká str.sociálně demokrat.","ČSSD",1,"7",54577,8.73,4,39,57019,FALSE,TRUE
8105,505927,"Opava",1,7,1,1,"Křesťanská a demokratická unie - Československá strana lidová","Křesť.demokr.unie-Čs.str.lid.","KDU-ČSL",1,"1",38342,6.13,2,39,57019,TRUE,TRUE
8105,505927,"Opava",1,8,1114,1114,"Svoboda a přímá demokracie - Tomio Okamura (SPD)","Svob.a př.dem.-T.Okamura (SPD)","SPD",1,"1114",36791,5.88,2,39,57019,FALSE,TRUE
8105,505927,"Opava",1,10,364,364,"Zelená pro Opavu, sdružení Strany zelených a nezavislých kandidátů","Zelená pro Opavu + SZ a NK","Zelení+NK",2,"5,080",35939,5.75,2,39,57019,TRUE,TRUE
8105,505927,"Opava",1,12,768,768,"ANO 2011","ANO 2011","ANO",1,"768",137636,22.02,10,39,57019,TRUE,TRUE
8105,505927,"Opava",1,14,1188,1188,"Občané městských částí Opavy","Občané městských částí Opavy","OMČO",1,"1188",43700,6.99,3,39,57019,TRUE,TRUE
7104,511382,"Přerov",1,3,1114,1114,"Svoboda a přímá demokracie - Tomio Okamura (SPD)","Svob.a př.dem.-T.Okamura (SPD)","SPD",1,"1114",31409,7.15,3,35,43565,FALSE,TRUE
7104,511382,"Přerov",1,4,483,483,"Za prosperitu Přerova a jeho místních částí","Za prosp. Přerova a míst.část.","SPOZ+NK",2,"80,724",47429,10.8,4,35,43565,FALSE,TRUE
7104,511382,"Přerov",1,5,1337,1337,"Společně pro Přerov a Piráti-koalice politických stran České pirátské strany, Nezávislé volby a politického hnutí Změna","Společně pro Přerov a Piráti","NV+Piráti+Změna",3,"163,720,771",50347,11.47,4,35,43565,FALSE,TRUE
7104,511382,"Přerov",1,6,1058,1058,"KDU-ČSL a TOP09","KDU-ČSL a TOP09","KDU-ČSL+TOP 09",2,"1,721",25870,5.89,2,35,43565,TRUE,TRUE
7104,511382,"Přerov",1,7,768,768,"ANO 2011","ANO 2011","ANO",1,"768",106789,24.33,10,35,43565,TRUE,TRUE
7104,511382,"Přerov",1,10,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",40952,9.33,4,35,43565,FALSE,TRUE
7104,511382,"Přerov",1,11,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"53",66720,15.2,6,35,43565,TRUE,TRUE
7104,511382,"Přerov",1,12,166,166,"STAROSTOVÉ A NEZÁVISLÍ","STAROSTOVÉ A NEZÁVISLÍ","STAN",1,"166",27578,6.28,2,35,43565,FALSE,TRUE
7105,523704,"Šumperk",1,1,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"53",13688,6.79,2,27,26151,FALSE,TRUE
7105,523704,"Šumperk",1,2,1114,1114,"Svoboda a přímá demokracie - Tomio Okamura (SPD)","Svob.a př.dem.-T.Okamura (SPD)","SPD",1,"1114",14457,7.17,2,27,26151,FALSE,TRUE
7105,523704,"Šumperk",1,4,401,401,"Sdružení PRO-REGION a NEZÁVISLÍ","Sdruž. PRO-REGION a NEZÁVISLÍ",NA,2,"80,088",22205,11.02,4,27,26151,FALSE,TRUE
7105,523704,"Šumperk",1,7,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",13284,6.59,2,27,26151,FALSE,TRUE
7105,523704,"Šumperk",1,8,768,768,"ANO 2011","ANO 2011","ANO",1,"768",37739,18.73,6,27,26151,TRUE,TRUE
7105,523704,"Šumperk",1,11,7,7,"Česká strana sociálně demokratická","Česká str.sociálně demokrat.","ČSSD",1,"7",11046,5.48,1,27,26151,FALSE,TRUE
7105,523704,"Šumperk",1,13,461,461,"NEZÁVISLÁ VOLBA","NEZÁVISLÁ VOLBA",NA,2,"80,163",17317,8.59,3,27,26151,FALSE,TRUE
7105,523704,"Šumperk",1,14,355,355,"PRO ŠUMPERK - KDU-ČSL a nezávislí kandidáti","PRO ŠUMPERK -  KDU-ČSL a NK",NA,2,"1,080",16869,8.37,3,27,26151,TRUE,TRUE
7105,523704,"Šumperk",1,15,495,495,"ŠUMPERÁCI","ŠUMPERÁCI",NA,3,"80,166,721",25737,12.77,4,27,26151,TRUE,TRUE
2101,529303,"Benešov",1,1,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"53",14704,11.34,3,23,16522,TRUE,TRUE
2101,529303,"Benešov",1,2,7,7,"Česká strana sociálně demokratická","Česká str.sociálně demokrat.","ČSSD",1,"7",8418,6.49,1,23,16522,FALSE,TRUE
2101,529303,"Benešov",1,3,720,720,"Česká pirátská strana s podporou Strany Zelených","Česká pirát.str. s podp.Zelení","Piráti",1,"720",9655,7.45,2,23,16522,TRUE,TRUE
2101,529303,"Benešov",1,4,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",7175,5.53,1,23,16522,FALSE,TRUE
2101,529303,"Benešov",1,5,768,768,"ANO 2011","ANO 2011","ANO",1,"768",15320,11.82,3,23,16522,FALSE,TRUE
2101,529303,"Benešov",1,6,401,401,"Volba pro Benešov","Volba pro Benešov",NA,2,"80,088",47142,36.37,11,23,16522,TRUE,TRUE
2101,529303,"Benešov",1,10,470,470,"STAN Spolu PRO Benešov s podporou KDU-ČSL","STANSpoluPROBen.s podp.KDU-ČSL",NA,2,"80,166",12625,9.74,2,23,16522,TRUE,TRUE
2102,531057,"Beroun",1,1,768,768,"ANO 2011","ANO 2011","ANO",1,"768",17596,16.92,4,21,19439,TRUE,TRUE
2102,531057,"Beroun",1,2,1330,1330,"BEROUN SOBĚ","BEROUN SOBĚ",NA,4,"1,080,166,721",20945,20.14,4,21,19439,FALSE,TRUE
2102,531057,"Beroun",1,3,477,477,"Lepší Beroun","Lepší Beroun",NA,2,"80,714",8955,8.61,2,21,19439,FALSE,TRUE
2102,531057,"Beroun",1,4,371,371,"Česká strana sociálně demokratická a nezávislí kandidáti","ČSSD a nezávislí kandidáti",NA,2,"7,080",8740,8.4,2,21,19439,FALSE,TRUE
2102,531057,"Beroun",1,5,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",7081,6.8,1,21,19439,FALSE,TRUE
2102,531057,"Beroun",1,6,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"53",15439,14.84,3,21,19439,TRUE,TRUE
2102,531057,"Beroun",1,7,463,463,"NEZÁVISLÍ BEROUŇÁCI","NEZÁVISLÍ BEROUŇÁCI","SOM+NK",2,"80,158",25228,24.26,5,21,19439,TRUE,TRUE
2103,532053,"Kladno",1,1,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",39126,6.43,2,33,68804,FALSE,TRUE
2103,532053,"Kladno",1,3,727,727,"VOLBA PRO KLADNO","VOLBA PRO KLADNO","VPK",1,"727",208233,34.23,13,33,68804,FALSE,TRUE
2103,532053,"Kladno",1,4,1114,1114,"SVOBODA A PŘÍMÁ DEMOKRACIE - TOMIO OKAMURA ( SPD )","SVOB.A PŘ.DEM.-T.OKAMURA (SPD)","SPD",1,"1114",34619,5.69,2,33,68804,TRUE,TRUE
2103,532053,"Kladno",1,6,1315,1315,"KLADEŇÁCI","KLADEŇÁCI","KDU+STAN+TOP09",3,"1,166,721",83150,13.66,5,33,68804,TRUE,TRUE
2103,532053,"Kladno",1,7,768,768,"ANO 2011","ANO 2011","ANO",1,"768",73290,12.04,4,33,68804,TRUE,TRUE
2103,532053,"Kladno",1,9,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"53",126670,20.82,7,33,68804,TRUE,TRUE
2105,533955,"Kutná Hora",1,1,477,477,"Kutnohorská změna","Kutnohorská změna",NA,2,"80,714",10138,6.02,2,27,20536,TRUE,TRUE
2105,533955,"Kutná Hora",1,2,470,470,"STAROSTOVÉ A NEZÁVISLÍ A ŠANCE PRO KUTNOU HORU","STAROSTOVÉ A NEZ. A ŠANCE KH",NA,2,"80,166",18678,11.1,3,27,20536,TRUE,TRUE
2105,533955,"Kutná Hora",1,3,497,497,"Město PRO lidi","Město PRO lidi","Soukromníci+NK",2,"80,716",29431,17.49,5,27,20536,FALSE,TRUE
2105,533955,"Kutná Hora",1,4,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"53",22924,13.62,4,27,20536,FALSE,TRUE
2105,533955,"Kutná Hora",1,6,1,1,"Křesťanská a demokratická unie - Československá strana lidová","Křesť.demokr.unie-Čs.str.lid.","KDU-ČSL",1,"1",10584,6.29,2,27,20536,TRUE,TRUE
2105,533955,"Kutná Hora",1,7,768,768,"ANO 2011","ANO 2011","ANO",1,"768",25095,14.91,5,27,20536,TRUE,TRUE
2105,533955,"Kutná Hora",1,10,720,720,"Česká pirátská strana","Česká pirátská strana","Piráti",1,"720",11559,6.87,2,27,20536,TRUE,TRUE
2105,533955,"Kutná Hora",1,11,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",10046,5.97,2,27,20536,FALSE,TRUE
2105,533955,"Kutná Hora",1,12,1211,1211,"Alternativa pro Vás","Alternativa pro Vás","ApV",1,"1211",13608,8.09,2,27,20536,TRUE,TRUE
2106,534676,"Mělník",1,1,486,486,"MĚLNIČANÉ","MĚLNIČANÉ",NA,3,"1,080,129",10713,9.18,2,21,19351,FALSE,FALSE
2106,534676,"Mělník",1,3,427,427,"MÉ MĚSTO","MÉ MĚSTO",NA,2,"80,143",22750,19.51,4,21,19351,FALSE,FALSE
2106,534676,"Mělník",1,4,53,53,"Občanská demokratická strana s podporou Strany Soukromníků ČR","ODS s podporou Strany Soukr.ČR","ODS",1,"53",20447,17.53,4,21,19351,FALSE,FALSE
2106,534676,"Mělník",1,5,470,470,"MÁME RÁDI MĚLNÍK","MÁME RÁDI MĚLNÍK",NA,2,"80,166",16122,13.82,3,21,19351,FALSE,FALSE
2106,534676,"Mělník",1,6,387,387,"Nezávislí kandidáti a KSČM ""ZA LEPŠÍ MĚLNÍK""","NK a KSČM ""ZA LEPŠÍ MĚLNÍK""",NA,2,"47,080",9148,7.84,2,21,19351,FALSE,FALSE
2106,534676,"Mělník",1,7,768,768,"ANO 2011","ANO 2011","ANO",1,"768",18885,16.19,4,21,19351,FALSE,FALSE
2106,534676,"Mělník",1,8,7,7,"Česká strana sociálně demokratická","Česká str.sociálně demokrat.","ČSSD",1,"7",7703,6.6,1,21,19351,FALSE,FALSE
2106,534676,"Mělník",1,9,1093,1093,"Spojené síly pro Mělník","Spojené síly pro Mělník","Zelení+TOP09",2,"5,721",7985,6.84,1,21,19351,FALSE,FALSE
2107,535419,"Mladá Boleslav",1,1,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",25086,6.61,2,33,44167,FALSE,TRUE
2107,535419,"Mladá Boleslav",1,3,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"53",109073,28.76,11,33,44167,TRUE,TRUE
2107,535419,"Mladá Boleslav",1,4,1071,1071,"ANO 2011 + Volba pro Mladou Boleslav","ANO 2011+Volba pro Ml.Boleslav",NA,2,"193,768",100181,26.41,10,33,44167,TRUE,TRUE
2107,535419,"Mladá Boleslav",1,6,7,7,"Česká strana sociálně demokratická","Česká str.sociálně demokrat.","ČSSD",1,"7",29559,7.79,3,33,44167,TRUE,TRUE
2107,535419,"Mladá Boleslav",1,8,303,303,"KOALICE KŘESŤANSKÉ A DEMOKRATICKÉ UNIE - ČESKOSLOVENSKÉ STRANY LIDOVÉ A STRANY ZELENÝCH","Koalice KDU-ČSL, Zelení","KDU-ČSL+Zelení",2,"1,005",20615,5.43,2,33,44167,FALSE,TRUE
2107,535419,"Mladá Boleslav",1,9,166,166,"STAROSTOVÉ A NEZÁVISLÍ","STAROSTOVÉ A NEZÁVISLÍ","STAN",1,"166",48405,12.76,5,33,44167,TRUE,TRUE
7101,536385,"Jeseník",1,1,501,501,"Jeseník srdcem","Jeseník srdcem","Zelení+TOP09+NK",3,"5,080,721",37871,41.54,13,25,11271,TRUE,TRUE
7101,536385,"Jeseník",1,2,461,461,"Nezávislí - Jeseník","Nezávislí - Jeseník",NA,2,"80,163",5295,5.8,1,25,11271,FALSE,TRUE
7101,536385,"Jeseník",1,3,768,768,"ANO 2011","ANO 2011","ANO",1,"768",11084,12.15,3,25,11271,FALSE,TRUE
7101,536385,"Jeseník",1,6,470,470,"PRO JESENÍK","PRO JESENÍK",NA,2,"80,166",12765,14,4,25,11271,TRUE,TRUE
7101,536385,"Jeseník",1,7,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"53",5834,6.4,2,25,11271,FALSE,TRUE
7101,536385,"Jeseník",1,8,1138,1138,"Koalice Svoboda a přímá demokracie - Tomio Okamura (SPD) a Strana Práv Občanů ZEMANOVCI","Koalice SPD a SPOZ","SPOZ+SPD",2,"7,241,114",5635,6.18,2,25,11271,FALSE,TRUE
2108,537004,"Nymburk",1,1,470,470,"ZMĚNA PRO NYMBURK","ZMĚNA PRO NYMBURK",NA,2,"80,166",13922,13.18,3,21,15062,FALSE,TRUE
2108,537004,"Nymburk",1,2,371,371,"Česká strana sociálně demokratická s podporou nezávislých","ČSSD s podporou nezávislých",NA,2,"7,080",7016,6.64,2,21,15062,TRUE,TRUE
2108,537004,"Nymburk",1,4,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"53",8448,7.99,2,21,15062,TRUE,TRUE
2108,537004,"Nymburk",1,8,355,355,"ZDRAVÝ NYMBURK","ZDRAVÝ NYMBURK",NA,2,"1,080",5401,5.11,1,21,15062,FALSE,TRUE
2108,537004,"Nymburk",1,10,768,768,"ANO 2011","ANO 2011","ANO",1,"768",10124,9.58,2,21,15062,FALSE,TRUE
2108,537004,"Nymburk",1,11,902,90,"Nymburští demokraté","Nymburští demokraté","SNK",1,"80",15189,14.38,4,21,15062,FALSE,TRUE
2108,537004,"Nymburk",1,13,901,90,"Nymburk s klidem","Nymburk s klidem","SNK",1,"80",27652,26.17,7,21,15062,TRUE,TRUE
2111,539911,"Příbram",1,2,720,720,"Česká pirátská strana","Česká pirátská strana","Piráti",1,"720",13727,5.55,1,25,32867,FALSE,TRUE
2111,539911,"Příbram",1,3,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",17074,6.9,2,25,32867,FALSE,TRUE
2111,539911,"Příbram",1,6,721,721,"TOP 09","TOP 09","TOP 09",1,"721",37545,15.18,5,25,32867,FALSE,TRUE
2111,539911,"Příbram",1,7,427,427,"Šance pro Příbram","Šance pro Příbram",NA,2,"80,143",14933,6.04,2,25,32867,FALSE,TRUE
2111,539911,"Příbram",1,9,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"53",16161,6.53,2,25,32867,TRUE,TRUE
2111,539911,"Příbram",1,10,449,449,"Příbramáci pro Příbram","Příbramáci pro Příbram",NA,2,"80,129",13655,5.52,1,25,32867,TRUE,TRUE
2111,539911,"Příbram",1,11,768,768,"ANO 2011","ANO 2011","ANO",1,"768",96102,38.87,12,25,32867,TRUE,TRUE
7203,541630,"Vsetín",1,2,364,364,"KOALICE PRO OTEVŘENÝ VSETÍN","KOALICE PRO OTEVŘENÝ VSETÍN","Zelení+NK",2,"5,080",17686,11.08,3,21,26109,FALSE,TRUE
7203,541630,"Vsetín",1,3,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"53",16057,10.06,2,21,26109,FALSE,TRUE
7203,541630,"Vsetín",1,5,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",8739,5.47,1,21,26109,FALSE,TRUE
7203,541630,"Vsetín",1,6,166,166,"STAROSTOVÉ A NEZÁVISLÍ","STAROSTOVÉ A NEZÁVISLÍ","STAN",1,"166",22785,14.28,3,21,26109,TRUE,TRUE
7203,541630,"Vsetín",1,7,768,768,"ANO 2011","ANO 2011","ANO",1,"768",20208,12.66,3,21,26109,TRUE,TRUE
7203,541630,"Vsetín",1,8,7,7,"Česká strana sociálně demokratická","Česká str.sociálně demokrat.","ČSSD",1,"7",12630,7.91,2,21,26109,FALSE,TRUE
7203,541630,"Vsetín",1,10,1114,1114,"Svoboda a přímá demokracie - Tomio Okamura (SPD)","Svob.a př.dem.-T.Okamura (SPD)","SPD",1,"1114",11449,7.17,2,21,26109,FALSE,TRUE
7203,541630,"Vsetín",1,11,1,1,"Křesťanská a demokratická unie - Československá strana lidová","Křesť.demokr.unie-Čs.str.lid.","KDU-ČSL",1,"1",31546,19.77,5,21,26109,TRUE,TRUE
2112,541656,"Rakovník",1,1,371,371,"Česká strana sociálně demokratická a nezávislí kandidáti","Česká str.soc.dem.a nez.kandi.",NA,2,"7,080",9799,10.05,2,21,15893,FALSE,TRUE
2112,541656,"Rakovník",1,2,768,768,"ANO 2011","ANO 2011","ANO",1,"768",11992,12.92,3,21,15893,FALSE,TRUE
2112,541656,"Rakovník",1,3,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"53",16668,17.1,4,21,15893,TRUE,TRUE
2112,541656,"Rakovník",1,4,510,510,"Změna pro Rakovník","Změna pro Rakovník",NA,2,"80,771",7450,7.64,1,21,15893,TRUE,TRUE
2112,541656,"Rakovník",1,5,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",10199,10.46,2,21,15893,FALSE,TRUE
2112,541656,"Rakovník",1,6,1361,1361,"MĚSTO PRO VÁS","MĚSTO PRO VÁS","STAN+MPV",2,"1,661,036",13624,13.98,3,21,15893,TRUE,TRUE
2112,541656,"Rakovník",1,7,457,457,"SMĚR Rakovník - Nestraníci","SMĚR Rakovník - Nestraníci",NA,2,"80,181",5573,5.71,1,21,15893,TRUE,TRUE
2112,541656,"Rakovník",1,8,714,714,"Strana svobodných občanů","Strana svobodných občanů","Svobodní",1,"714",9009,9.24,2,21,15893,TRUE,TRUE
2112,541656,"Rakovník",1,9,721,721,"Společně pro Rakovník","Společně pro Rakovník","TOP 09",1,"721",13135,13.47,3,21,15893,TRUE,TRUE
3101,544256,"České Budějovice",1,5,1422,1422,"OBČANÉ PRO BUDĚJOVICE","OBČANÉ PRO BUDĚJOVICE","HOPB+JIH 12+NK",3,"80,753,766",198183,16.44,9,45,93863,TRUE,TRUE
3101,544256,"České Budějovice",1,7,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",84133,6.98,4,45,93863,FALSE,TRUE
3101,544256,"České Budějovice",1,10,389,389,"Sdružení Občanské demokratické strany a nezávislých kandidátů","Sdružení ODS a nez. kandidátů",NA,2,"53,080",171074,14.19,8,45,93863,FALSE,TRUE
3101,544256,"České Budějovice",1,11,480,480,"Společně pro Budějovice - Lidovci a TOP 09","Spol.pro Bud.-Lidovci a TOP 09",NA,2,"80,721",66252,5.49,3,45,93863,TRUE,TRUE
3101,544256,"České Budějovice",1,12,768,768,"ANO 2011","ANO 2011","ANO",1,"768",255585,21.2,12,45,93863,TRUE,TRUE
3101,544256,"České Budějovice",1,13,1421,1421,"STAROSTOVÉ A NEZÁVISLÍ a Čisté Budějovice","STAN a Čisté Budějovice","STAN+ČiB",2,"1,661,212",77947,6.46,3,45,93863,TRUE,TRUE
3101,544256,"České Budějovice",1,14,720,720,"Česká pirátská strana","Česká pirátská strana","Piráti",1,"720",146875,12.18,6,45,93863,FALSE,TRUE
3102,545392,"Český Krumlov",1,1,7,7,"Česká strana sociálně demokratická","Česká str.sociálně demokrat.","ČSSD",1,"7",6441,7.04,2,23,13028,TRUE,TRUE
3102,545392,"Český Krumlov",1,2,1134,1134,"PRO 2016","PRO 2016","PRO2016",1,"1134",8142,8.9,2,23,13028,FALSE,TRUE
3102,545392,"Český Krumlov",1,3,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"53",9518,10.41,2,23,13028,FALSE,TRUE
3102,545392,"Český Krumlov",1,4,1,1,"Křesťanská a demokratická unie - Československá strana lidová","Křesť.demokr.unie-Čs.str.lid.","KDU-ČSL",1,"1",11186,12.23,3,23,13028,TRUE,TRUE
3102,545392,"Český Krumlov",1,5,364,364,"NEZÁVISLÍ A ZELENÍ","NEZÁVISLÍ A ZELENÍ","Zelení+NK",2,"5,080",6922,7.57,2,23,13028,TRUE,TRUE
3102,545392,"Český Krumlov",1,6,1304,1304,"REÁLNÝ KRUMLOV","REÁLNÝ KRUMLOV","REAL+NK",2,"801,176",5386,5.89,1,23,13028,TRUE,TRUE
3102,545392,"Český Krumlov",1,7,768,768,"ANO 2011","ANO 2011","ANO",1,"768",12230,13.37,3,23,13028,FALSE,TRUE
3102,545392,"Český Krumlov",1,8,480,480,"Společně pro Krumlov - Nezávislí a TOP 09","Společně pro ČK-Nezáv.a TOP 09",NA,2,"80,721",10496,11.48,3,23,13028,TRUE,TRUE
3102,545392,"Český Krumlov",1,9,470,470,"Sdružení nezávislých - Město pro všechny","Sdruž.nezáv.-Město pro všechny",NA,2,"80,166",10238,11.19,3,23,13028,TRUE,TRUE
3102,545392,"Český Krumlov",1,10,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",7907,8.64,2,23,13028,FALSE,TRUE
3103,545881,"Jindřichův Hradec",1,1,524,524,"PATRIOTI Jindřichův Hradec","PATRIOTI Jindřichův Hradec",NA,2,"801,004",14700,7.79,2,27,21460,TRUE,FALSE
3103,545881,"Jindřichův Hradec",1,2,1389,1389,"SNK ED a nezávislý kandidát STAN","SNK ED a nezáv. kandidát STAN","SNK ED+STAN+NK",3,"80,129,166",22090,11.71,3,27,21460,TRUE,FALSE
3103,545881,"Jindřichův Hradec",1,3,768,768,"ANO 2011","ANO 2011","ANO",1,"768",22469,11.91,4,27,21460,TRUE,FALSE
3103,545881,"Jindřichův Hradec",1,4,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",14641,7.76,2,27,21460,FALSE,FALSE
3103,545881,"Jindřichův Hradec",1,5,7,7,"Česká strana sociálně demokratická","Česká str.sociálně demokrat.","ČSSD",1,"7",46464,24.63,8,27,21460,TRUE,FALSE
3103,545881,"Jindřichův Hradec",1,7,477,477,"Hradec srdcem a rozumem + Svobodní","Hradec srdcem a rozum. + Svob.",NA,2,"80,714",23545,12.48,4,27,21460,FALSE,FALSE
3103,545881,"Jindřichův Hradec",1,9,720,720,"Česká pirátská strana","Česká pirátská strana","Piráti",1,"720",12810,6.79,2,27,21460,TRUE,FALSE
3103,545881,"Jindřichův Hradec",1,10,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"53",15348,8.13,2,27,21460,TRUE,FALSE
6103,547492,"Pelhřimov",1,1,527,527,"Nezávislí pro občany","Nezávislí pro občany",NA,2,"80,779",6502,5.67,1,21,16105,FALSE,TRUE
6103,547492,"Pelhřimov",1,2,721,721,"TOP 09","TOP 09","TOP 09",1,"721",15371,13.41,3,21,16105,TRUE,TRUE
6103,547492,"Pelhřimov",1,3,7,7,"Česká strana sociálně demokratická","Česká str.sociálně demokrat.","ČSSD",1,"7",14448,12.61,3,21,16105,FALSE,TRUE
6103,547492,"Pelhřimov",1,4,112,112,"HNUTÍ NEZÁVISLÝCH ZA HARMONICKÝ ROZVOJ OBCÍ A MĚST","HN.ZA HARM.ROZVOJ OBCÍ A MĚST","HNHRM",1,"112",6533,5.7,1,21,16105,FALSE,TRUE
6103,547492,"Pelhřimov",1,5,510,510,"Změna pro Pelhřimov","Změna pro Pelhřimov",NA,2,"80,771",12650,11.04,2,21,16105,FALSE,TRUE
6103,547492,"Pelhřimov",1,6,768,768,"ANO 2011","ANO 2011","ANO",1,"768",13658,11.92,3,21,16105,TRUE,TRUE
6103,547492,"Pelhřimov",1,9,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",6401,5.58,1,21,16105,FALSE,TRUE
6103,547492,"Pelhřimov",1,10,1,1,"Křesťanská a demokratická unie - Československá strana lidová","Křesť.demokr.unie-Čs.str.lid.","KDU-ČSL",1,"1",14493,12.65,3,21,16105,TRUE,TRUE
6103,547492,"Pelhřimov",1,11,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"53",20632,18.01,4,21,16105,TRUE,TRUE
3104,549240,"Písek",1,1,7,7,"Česká strana sociálně demokratická","Česká str.sociálně demokrat.","ČSSD",1,"7",26096,11.31,3,27,30119,TRUE,TRUE
3104,549240,"Písek",1,2,1,1,"Křesťanská a demokratická unie - Československá strana lidová","Křesť.demokr.unie-Čs.str.lid.","KDU-ČSL",1,"1",20337,8.81,3,27,30119,TRUE,TRUE
3104,549240,"Písek",1,3,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"53",22551,9.77,3,27,30119,FALSE,TRUE
